✅ [accommodation - 1117108402] 87개 리뷰 저장 완료: ./data\accommodation_1117108402_20250429_1542.csv
✅ [accommodation - 12392756] 48개 리뷰 저장 완료: ./data\accommodation_12392756_20250429_1543.csv
✅ [accommodation - 8161840] 100개 리뷰 저장 완료: ./data\accommodation_8161840_20250429_1543.csv
✅ [accommodation - 1061735080] 49개 리뷰 저장 완료: ./data\accommodation_1061735080_20250429_1544.csv
✅ [accommodation - 970658221] 23개 리뷰 저장 완료: ./data\accommodation_970658221_20250429_1544.csv
✅ [accommodation - 1679453569] 14개 리뷰 저장 완료: ./data\accommodation_1679453569_20250429_1545.csv
⚠️  [accommodation - 294773314] 리뷰 개수 1개로 저장하지 않음
✅ [accommodation - 1601963134] 16개 리뷰 저장 완료: ./data\accommodation_1601963134_20250429_1545.csv
✅ [accommodation - 24633671] 16개 리뷰 저장 완료: ./data\accommodation_24633671_20250429_1546.csv
⚠️  [accommodation - 613402422] 리뷰 개수 4개로 저장하지 않음
✅ [accommodation - 17806940] 49개 리뷰 저장 완료: ./data\accommodation_17806940_20250429_1546.csv
✅ [accommodation - 1839646753] 29개 리뷰 저장 완료: ./data\accommodation_1839646753_20250429_1547.csv
✅ [accommodation - 421395600] 24개 리뷰 저장 완료: ./data\accommodation_421395600_20250429_1547.csv
⚠️  [accommodation - 884676592] 리뷰 개수 6개로 저장하지 않음
⚠️  [accommodation - 666074998] 리뷰 개수 5개로 저장하지 않음
⚠️  [accommodation - 16081235] 리뷰 개수 8개로 저장하지 않음
✅ [accommodation - 20744674] 12개 리뷰 저장 완료: ./data\accommodation_20744674_20250429_1548.csv
✅ [accommodation - 334275344] 10개 리뷰 저장 완료: ./data\accommodation_334275344_20250429_1549.csv
⚠️  [accommodation - 27104326] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 17475026] 리뷰 개수 7개로 저장하지 않음
⚠️  [accommodation - 20741364] 리뷰 개수 3개로 저장하지 않음
⚠️  [accommodation - 13504272] 리뷰 개수 1개로 저장하지 않음
✅ [accommodation - 1542188815] 26개 리뷰 저장 완료: ./data\accommodation_1542188815_20250429_1550.csv
⚠️  [accommodation - 389448301] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 1223503997] 15개 리뷰 저장 완료: ./data\accommodation_1223503997_20250429_1551.csv
⚠️  [accommodation - 11753624] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 1159393135] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 993831952] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 16054889] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1859930054] 리뷰 개수 3개로 저장하지 않음
✅ [accommodation - 1940079552] 11개 리뷰 저장 완료: ./data\accommodation_1940079552_20250429_1553.csv
⚠️  [accommodation - 77503819] 리뷰 개수 9개로 저장하지 않음
✅ [accommodation - 420513825] 11개 리뷰 저장 완료: ./data\accommodation_420513825_20250429_1554.csv
⚠️  [accommodation - 16417812] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 13048952] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1249074394] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 14561706] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 25665660] 17개 리뷰 저장 완료: ./data\accommodation_25665660_20250429_1557.csv
✅ [accommodation - 27110153] 15개 리뷰 저장 완료: ./data\accommodation_27110153_20250429_1557.csv
✅ [accommodation - 26989073] 10개 리뷰 저장 완료: ./data\accommodation_26989073_20250429_1558.csv
✅ [accommodation - 12602144] 11개 리뷰 저장 완료: ./data\accommodation_12602144_20250429_1558.csv
✅ [accommodation - 650360965] 25개 리뷰 저장 완료: ./data\accommodation_650360965_20250429_1558.csv
✅ [accommodation - 2101999235] 24개 리뷰 저장 완료: ./data\accommodation_2101999235_20250429_1559.csv
⚠️  [accommodation - 1488230834] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 146207610] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1992037242] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 20743379] 리뷰 개수 4개로 저장하지 않음
⚠️  [accommodation - 10898073] 리뷰 개수 7개로 저장하지 않음
⚠️  [accommodation - 1754724963] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 1888578123] 리뷰 개수 2개로 저장하지 않음
⚠️  [accommodation - 8037342] 리뷰 개수 6개로 저장하지 않음
⚠️  [accommodation - 1127548410] 리뷰 개수 0개로 저장하지 않음
⚠️  [accommodation - 1212769891] 리뷰 개수 1개로 저장하지 않음
✅ [accommodation - 195802694] 65개 리뷰 저장 완료: ./data\accommodation_195802694_20250429_1603.csv
⚠️  [accommodation - 1198303768] 리뷰 개수 1개로 저장하지 않음
⚠️  [accommodation - 17985689] 리뷰 개수 0개로 저장하지 않음
✅ [accommodation - 98822938] 10개 리뷰 저장 완료: ./data\accommodation_98822938_20250429_1604.csv
⚠️  [accommodation - 9443744] 리뷰 개수 4개로 저장하지 않음
✅ [accommodation - 8042453] 14개 리뷰 저장 완료: ./data\accommodation_8042453_20250429_1605.csv
