text,label,score
밤에 한번 가보고 이번에는 낮에 갓는데,LABEL_1,0.5643
.,LABEL_1,0.4844
밤이 더 이쁘고 밤이 사진이 더 잘 되는거 같아요,LABEL_2,0.9872
평일이라 주차 쉽게 햇고.,LABEL_2,0.9345
아쿠아리움 보고 전망대 보고.,LABEL_2,0.5788
호수 한바퀴 돌고 오후가 후딱 지나가네요,LABEL_2,0.7099
총 3시간 걸렷고.,LABEL_1,0.4886
주차비 5700 원 인데 입장료영수증을 스캔 하니.,LABEL_0,0.5898
1900원 할인 3800 결제 가 뜨네요,LABEL_2,0.4016
비싸지는 않은데 아쿠아입장료전망대 입장료 3명.,LABEL_1,0.8143
총 138000 을 썻고.,LABEL_2,0.5833
그외에도 젤리 디저트 다 합치면 165000원 정도 썻는데,LABEL_2,0.5122
무료주차가 아니라니 흠 다른데는 보통 5만원 영수증에 두시간 무료주차 던데,LABEL_0,0.4408
호수 벚꽃축제는 끝낫지만,LABEL_1,0.7318
여전히 이쁩니다,LABEL_2,0.9815
"말로만 듣고, 멀리 어쩌다 지나가다가만 본 서울스카이 드디어 와봤습니다.",LABEL_2,0.9094
주차를 하고 들어선 순간부터 아트아트합니다.,LABEL_0,0.7785
엘리베이터도 마친가지입니다.,LABEL_2,0.7055
"1분 만에 꼭대기, 동서남북 서울을 쫘악 내려다봅니다.",LABEL_1,0.4634
"그저 아름답다, 경이롭단 말밖에 안나옵니다.",LABEL_1,0.4644
구름 위를 거닌다는 말은 이럴때 쓰는게 아닐까 싶습니다.,LABEL_1,0.7647
"이곳저곳 사진도 찍고, 기념품도 구입하고 대략 1시간 30분 남짓 구경이를 마쳤습니다.",LABEL_2,0.9304
늘 말씀드리지만,LABEL_1,0.6578
", 남는 건 사진입니다.",LABEL_2,0.6706
많은 기념사진을 촬영하는데,LABEL_2,0.5944
", 꼭 보시고 출력, 액자로 만들어 기념 간직하기를 바랍니다.",LABEL_2,0.9434
언제 기회가 된다면 야경도 보고싶네요.,LABEL_2,0.8644
미세먼지 상공뷰 맑은 하늘이였다면 예뻤을 거 같아요.,LABEL_2,0.8921
서울이 복잡하다고만 생각했었는데,LABEL_1,0.7701
위에서 내려다보니 정리정돈이 잘 되어 있는 깔끔한 도시로 보였어요.,LABEL_2,0.977
한번쯤 다녀오기 좋은 거 같습니다.,LABEL_2,0.9699
미세먼지가 나쁨이라 걱정 많이 했는데,LABEL_1,0.6347
생각보다 잘보여서 괜찮았어요,LABEL_2,0.8841
고소공포증이 있는터라 유리위에는 못올라갔는데,LABEL_0,0.5779
얘들은 좋아했어요,LABEL_2,0.9632
담에는 브릿지?,LABEL_1,0.6941
도 미리 예약해서 얘들 시켜줄려구용,LABEL_2,0.946
부모님이 서울 오셔서 모시고 갔는데,LABEL_1,0.5139
너무 만족하셨어요!,LABEL_2,0.9908
서울 오랜만에 오셨는데,LABEL_2,0.8761
뷰 보시고 너무 좋아하시더라구요,LABEL_2,0.9769
저희는 캐리커쳐도 그리고 사진도 인화했는데,LABEL_2,0.8651
부모님께 좋은 추억 남겨드린 것 같아요 네이버로 선 예약하고 가시면 바로 입장되시니 예약하고 평일에 가시는걸 추천드려요,LABEL_2,0.9762
7개월 아이와다녀왔어요,LABEL_2,0.8757
엘레베이터 타는동안에도 지루할 틈없이 반짝반짝 좋았구 특별히 가서 한고라곤 사진찍은게 다지만,LABEL_2,0.738
그래도 너무좋앗어요!,LABEL_2,0.9505
좋은금액대에 다녀와서 기분도 좋네요,LABEL_2,0.9912
다음번엔 야경을 보러다녀와야겟어요,LABEL_1,0.6689
"꼭 와보고 싶었던 서울스카이  가족, 연인, 친구 데이트 코스로 완전 강추합니다",LABEL_2,0.9807
117층까지 1분만에 도착하는데,LABEL_2,0.6473
"엘베가 움직이는지도 잘 못느낄만큼 매우 편안하고 정말 현대기술이 이정도로 발전했구나를 몸소 체험했어요  부산, 후쿠오카 전망대 다녀왔는데",LABEL_2,0.9851
서울스카이 만큼 웅장하진 않았어요.,LABEL_1,0.7008
건물안에 하늘아래 제일 높은 카페인 엔제리너스도 있는데,LABEL_2,0.8167
가격이 일반 매장가와 동일해서 감동이었습니다,LABEL_2,0.9764
"아이들이랑 방문해도 기념품, 볼거리가 많아 추천해요",LABEL_2,0.99
주차는 4시간까지 할인권을 주셔서 4800원 정도 낸것 같아요.,LABEL_2,0.9402
토요일 이었는데,LABEL_2,0.8252
사람이 많지 않아 편안히 즐겼습니다,LABEL_2,0.9622
"서울데이트, 서울 놀거리, 볼거리, 즐길거리 장소로 추천드려용",LABEL_2,0.9761
전망대까지 가는길 하나 하나 지루하거나 심심할틈 없어요!,LABEL_0,0.6633
작품 보느라 시간 가는줄 모르고 집중했더니 어느새 전망대 타워 영상 보는데,LABEL_0,0.5278
감탄이 절로 나왔고 뷰도 사진도 잘나오는데,LABEL_2,0.9833
날씨가 안도와줘서 아쉽ㅠ 날씨 좋을때 다시 방문하고 싶어요!,LABEL_2,0.9027
아이가 너무나 가고 싶어한 곳이예요.,LABEL_2,0.8872
세계에서 다섯번째로 높은 123층 건물이라며 가기 전부터 설레어 했지요.,LABEL_2,0.8703
엘리베이터를 타고 쓩 올라갔을 때 로켓을 탄 것같다며 흥분했구요,LABEL_1,0.5582
아이가 워낙 좋아해서 그모습들 담아준다며 바빴답니다.,LABEL_2,0.5017
저는 엘리베이터 타러 가기 전 미술 작품들을 찬찬히 살펴 볼 수 있어서 좋았습니다.,LABEL_2,0.9672
미술관 가보고 싶다는 마음을 여기서 실현하는구나 싶었지요.,LABEL_2,0.912
118층이였나요?,LABEL_0,0.544
정확히 기억 안나는데,LABEL_0,0.473
노을진 서울풍경을 처음 보았을 때 감격했어요.,LABEL_2,0.854
점점 어두워지니 높은 곳에서 내려다보는 서울 야경이 어찌나 아름답던지요.,LABEL_1,0.7793
차들은 막혀서 전조등 킨 듯 싶은데 위에서 보니 은빛 물결처럼 잔잔했습니다.,LABEL_1,0.7271
맛난 간식도 먹고 인증샷도 남겨 보면서 소중한 추억을 담고 옵니다.,LABEL_2,0.9908
화장실 세면대 건조 기능도 놀라구요,LABEL_2,0.9259
롯데타워 두 번째 방문은 가족과 함께 왔습니다.,LABEL_2,0.9647
날씨는 한파라 추웠지만,LABEL_1,0.8377
", 하늘은 맑고 깨끗해서 서울 전경을 볼 수 있어서 좋았어요.",LABEL_2,0.9545
아이들도 처음으로 이렇게 높은 곳에 와서 신기해 하는 모습이 너무나 귀여웠습니다.,LABEL_2,0.975
전망대에 있는 스카이데크는 아래가 뻥 뚫려 있는 통유리창으로 되어 있어서 아찔해 보였지만,LABEL_1,0.7866
", 아이들이 용감하게 올라가도 보았네요.",LABEL_2,0.9571
"주차는 롯데타워에 하니까 평일은 10분에 300원 정도 했고, 예매는 네이버에서 미리 해서 30 할인된 가격으로 표를 구해서 우리 네 명 한 가족이 10만원 안으로 입장할 수 있었습니다.",LABEL_2,0.9735
"세계에서는 다섯 번째로 높고, 우리나라에서는 가장 높은 빌딩이라 신기했고, 아이들과 좋은 경험할 수 있어서 좋았어요.",LABEL_2,0.9797
나중에는 야경 보러 와보고 싶네요!,LABEL_2,0.6523
날씨와 시간대에 따라 다양한 매력을 보여쥬는 서울스카이,LABEL_2,0.9694
이 날은 날씨가 너무 좋아서 멋졌어요.,LABEL_2,0.9857
영하면 야외테라스는 못나갑니다,LABEL_0,0.58
부모님 모시고 놀러갔는데,LABEL_1,0.5066
두 분다 너무 만족하셨어요,LABEL_2,0.9908
2년 전에 왔을 때보다 달라진 부분들이 감동이었네요,LABEL_2,0.9695
굿즈도 예쁜게 많아져서 기념하는 재미도 있고!,LABEL_2,0.9898
사진도 굳이?,LABEL_1,0.5177
싶지만,LABEL_1,0.8321
막상하면 부모님도 좋아하시고 추억이 남아서 괜찮은 것 같아요,LABEL_2,0.9766
겨울방학 가족여행으로 서울을 선택하고 어제 롯데월드 어드벤쳐에서 놀이기구타고 오늘은 서울스카이 전망대 구경왔어요,LABEL_2,0.9498
