text,label,score
첨단 프로젝션 맴핑과 인터랙티브 기술로 몰입형 디지털아트로 색다르게 변신한 간송미술관 소장 작품을 동대문디자인플라자 뮤지엄에서 관람했다.,LABEL_2,0.8656
"첨단 기술로 재탄생한 신윤복의 월하정인, 정선의 진경산수 속을 거닐어보니 내가 그림 속으로 차원 이동한 듯 황홀감이 밀려왔다.",LABEL_1,0.5444
이번 4월까지만,LABEL_2,0.7612
전시하니 아직 못 보신 븐들은 서두르시길,LABEL_1,0.645
멋진 디자인 좋아요,LABEL_2,0.9857
동대문 디자인 플라자DDP를 다녀왔어요  독특한 곡선 형태의 건축물이 인상적이었고 낮과 밤에 따라 분위기가 달라지는 점이 매력적이었습니다,LABEL_2,0.9788
낮에는 전시와 디자인 관련 행사가 많아 볼거리가 풍부했고 밤에는 화려한 조명이 더해져 더욱 멋진 야경을 감상할 수 있었어요,LABEL_2,0.982
"특히, 디자인 장터에는 다양한 소품과 기념품이 많아 구경하는 재미가 있었고 외부 광장에서는 스트리트 공연이나 팝업 이벤트가 열리기도 했어요",LABEL_2,0.9631
주변에 동대문 쇼핑몰과 먹거리도 많아 함께 둘러보기 좋았어요,LABEL_2,0.9807
"다만, 규모가 크다 보니 내부 이동 동선이 조금 복잡하게 느껴졌고 일부 전시는 유료라 사전 확인이 필요했습니다",LABEL_1,0.8041
하지만,LABEL_1,0.8586
서울의 랜드마크다운 독특한 공간과 분위기를 즐길 수 있어 디자인과 건축 관심이 있다면 한 번쯤 방문해볼 만한 곳이에요,LABEL_2,0.9105
복합문화공간 동대문디자인플라자  요기 전시도 전시지만,LABEL_2,0.7666
카페도 많고 밥먹을곳도 많고 볼거리가 참 많아서 하루종일 시간보낼수 있는곳입니다,LABEL_2,0.982
쇼룸에 피부타입 진단해주는 팝업있으니 DDP 가면 함 들러보세요 전 피부는 미인이였슴다!,LABEL_2,0.9021
지 혼자 연주하는 피아노도있고 앉아서 쉴곳도 많고 구경거리도 많아서 좋아요,LABEL_2,0.9909
구름이 걷히니 달이 비치고 바람 부니 별이 빛난다,LABEL_2,0.9296
