text,label,score
벚꽃도 만개해서 이쁘고 사람도많고많을 수밖에없음,LABEL_2,0.8171
"그리고 4.20까지 광복80주년기념 스타벅스 특별전 유묵, 별이되어 빛나다도 전시중",LABEL_2,0.9843
벚꽃이 예쁘게 피어있다고 해서 한번 방문하고 싶었어요 _,LABEL_2,0.749
"다른 궁들과 달리 늦게까지 열고, 입장료가 싸서 좋은 것 같습니다.",LABEL_2,0.9627
사람들도 막 붐비지 않아서 여유롭게 산책하기 좋았어요.,LABEL_2,0.9643
7시쯤 갔는데,LABEL_1,0.6064
해가 지니까 야경이 너무 예뻤습니다.,LABEL_2,0.93
왜 늦게까지 여는지 알 것 같아요,LABEL_2,0.8096
야간에 진행하는 프로젝트는 예약 시기를 놓쳐서 아쉽네요,LABEL_0,0.5028
2025년 04월 10일  사실상 벚꽃 절정으로 생각됩니다.,LABEL_2,0.9121
주말 동안 비와 바람이 꽤 영향을 줄 거니 꽃구경은 사실상 내일이 마지막일지 모르겠어요,LABEL_1,0.6965
그래서 그런가,LABEL_1,0.6851
역대급으로 사람들이 많았어요,LABEL_2,0.9819
표 구입하는 사람들입장하는 사람들 대기 줄이 엄청났습니다.,LABEL_0,0.7436
평일 아침 일찍 오니 평온하고 조용합니다 벚꽃이 피었고 곧 철쭉이 피려고 하고 합니다 앉아서 가만히 있어도 기분이 좋습니다,LABEL_2,0.9665
한창 봄꽃이 만개해서 사진찍기 너무 좋아요,LABEL_2,0.9869
덕수궁 내부특별관람을 보기위해 방문했습니다,LABEL_2,0.9048
예약을 못 했는데,LABEL_0,0.6262
", 이 날이 탄핵 다음 날이라 집회가 있었고, 비도 와서 못 오신 분들이 4분이 계셨어요",LABEL_2,0.838
예약 못한 제가 운이 좋게 참여할 수 있었습니다,LABEL_2,0.9816
비가와서 석어당 옆 살구꽃은 꽃잎이 많이 떨어졌지만,LABEL_1,0.7506
뭔가 전각의 색들은 더 선명해진 느낌이였어요,LABEL_1,0.6515
"중화전, 석어당, 함녕전 이렇게 3전각의 내부를 관람할 수 있었고, 중화전은 내부에서만 느낄 수 있는 웅장함과 내부의 시선에서 보이는 것들에 대해 설명을 들을 수 있었습니다",LABEL_2,0.9735
석어당이 이 프로그램의 키포인트였는데,LABEL_2,0.7978
", 석어당의 2층에서 바라보는 전경이였습니다 살구꽃과 함녕전, 덕홍전, 정관헌은 너무너무 예쁘고 좋았어요",LABEL_2,0.9613
한옥은 보통 1층이라 2층에서만 바라봐도 너무너무 좋았습니다,LABEL_2,0.9733
좋은 프로그램 자주해주세요,LABEL_2,0.878
근대시대 건축물 너무 멋있고 웅장했어요,LABEL_2,0.9876
역사도 알기도 좋고 덕수궁 돌담길도 좋고 날씨도 좋고 뜻 깊은 시간이었어요,LABEL_2,0.9921
관리가 잘 되어있고 좋아요,LABEL_2,0.9903
봄꽃들이 한창 많이 피었어요 덕분에 궁이 색색별로 다채로워 보이고 사진찍기도 좋습니다.,LABEL_2,0.9844
봄인데 오늘 추운데 교대의식 진행중,LABEL_2,0.8712
매월 마지막주 수요일은 문화가있는날의 혜택으로 무료입장 가능해요.,LABEL_2,0.9825
"이제 막 개나리, 진달래가 피기 시작했고, 벚꽃, 살구꽃, 앵두꽃 등도 이어서 곧 개화를 할것 같아요.",LABEL_2,0.9688
음식 반입은 안되지만,LABEL_1,0.841
커피 한잔 들고 산책하기에 좋았어요.,LABEL_2,0.9449
언제가도 도심속 고궁 산책은 운치있고 힐링되요.,LABEL_2,0.9849
마지막주 수요일 무료입장으로 방문했습니다.,LABEL_2,0.9261
날씨가 좋아서 산책하기 딱 좋았어요.,LABEL_2,0.9829
조금씩 꽃도 피고 푸릇푸릇해지고 있어서 기분도 좋았습니다.,LABEL_2,0.9837
언제나 가도 늘 좋은 덕수궁입니다.,LABEL_2,0.9847
2025.03.26 문화가 있는 날 찬스로 덕수궁 나들이.,LABEL_2,0.9501
봄꽃놀이 제대로 했네요.,LABEL_2,0.9829
덕수궁전체가 양지바른곳이라 그런지,LABEL_1,0.5618
꽃잔치를 하고 있더라구요,LABEL_2,0.7789
진달래.,LABEL_2,0.6733
산수유.,LABEL_2,0.8924
