text,label,score
조금 더 보완을 해야할 것 같아요,LABEL_1,0.5524
자주 와보고싶네요.,LABEL_2,0.5433
의궤쪽에 시간이 부족해 제대로 못봐서 아쉽습니다.,LABEL_0,0.5933
관련책이 있던데 대출받아 찬찬히 읽어보고 싶습니다.,LABEL_2,0.5978
첨부사진은 금관과 혁대인데 금관정면에서 보니 혁대는 뒷쪽으로 되어있네요.,LABEL_1,0.6613
아이 동반하기에도 좋고 구경하기에도 너무 좋았어요,LABEL_2,0.9839
비가와도 다니기 좋게 되어있어서 아이랑 즐거운 시간 보내고 왔습니다,LABEL_2,0.9853
오늘은 국립중앙박물관을 방문했어요 거울못을 지나 탁트인 남산뷰 전망 보고 박물관 안에 기념품 샵과 로비에서 검색대를 거쳐 상설전시관 3층 고대 그리스 로마실 그리스가 로마에게 로마가 그리스에게 관람을 했어요.,LABEL_2,0.523
해설사의 설명을 들으며 살펴보니 재밌고 유익한 시간였어요.,LABEL_2,0.9843
다음에 또 방문하려고요.,LABEL_1,0.4273
제일 큰 박물관 우리나라에서,LABEL_2,0.7732
국립중앙박물관 데이트 추천!,LABEL_2,0.9877
서울에서 데이트 장소를 찾는다면 국립중앙박물관을 추천함 무료 입장에 관리가 잘 된 넓은 공간이 매력적임.,LABEL_2,0.9838
천천히 둘러보려면 23시간 정도는 걸릴 만큼 규모가 큼,LABEL_1,0.6799
봄에는 박물관 주변에 벚꽃이 아름답게 피어 사진 찍기 딱임 박물관 내에는 카페와 식당이 있어 맛있는 식사와 디저트도 편리하게 즐길 수 있음.,LABEL_2,0.9868
기념품 가게에는 예쁘고 특별한 상품이 많아서 데이트 기념으로 선물 사기에도 훌륭함,LABEL_2,0.9918
"산책로와 휴식 공간도 충분히 있어 가족과의 나들이 장소로도 매우 적합함, 여유롭게 쉬면서 시간을 보내기 좋다.",LABEL_2,0.984
서울에서 부담 없이 데이트하거나 가족과 함께 나들이하기 좋은 곳으로 강력 추천!,LABEL_2,0.9898
재개관헌 선사고대관 너무 좋았습니다.,LABEL_2,0.9758
단지 유물 전시가 한층 더 재미와 감동을 주는 방향으로 업그레이드 될 수 있다는 게 흥미롭고 자랑스러웠어요!,LABEL_2,0.9792
"참고로 푸드코트 정보를 드리자면, 하루 종일 있어서 이것저것 먹어봤는데",LABEL_1,0.673
돈까스의 경우 가츠 자체는 맛있는데,LABEL_1,0.6623
소스가 좀 짜구요.,LABEL_1,0.5075
그래서 어린 자녀 동반한 분들은 소스를 따로 달라고 해서 드시더라구요.,LABEL_1,0.5733
"분식은 김밥은 편의점 수준도 안되는 맛이고, 라면은 맛은 괜찮은데 양이 하나 끓인 양이 아닌 것 같습니다.",LABEL_1,0.7113
김밥은 외국인들도 많이 먹던데,LABEL_1,0.518
솔직히 부끄러웠어요,LABEL_1,0.4723
경천사10측석탑미디어파사드 굿,LABEL_2,0.9816
역시 국립중앙박물관이었다,LABEL_2,0.9687
15년만에 가족을 이루어 가봤는데,LABEL_2,0.884
너무너무 좋았다,LABEL_2,0.9887
혼자 한번 다녀와야겠다,LABEL_1,0.5297
푸드코트 너무 맛있었음,LABEL_2,0.9801
엄청 넓고 볼것도 많았어요!,LABEL_2,0.9728
열두시쯤 가서 다섯시까지 봤는데,LABEL_1,0.52
"도 다 못볼정도로 전시물과 설명이 많았고, 중간중간 직접 해볼수 있는 스크린도 있어서 좋았습니다 !",LABEL_2,0.9727
다음에 몇번더 방문해서 제대로 더 보고싶어요,LABEL_2,0.6468
볼것도많고 다음에 또 보러가려고요.,LABEL_2,0.8265
우리나라에서 제일 큰 박물관인 국립중앙박물관 이제야 첫방문을 했네요,LABEL_2,0.9724
이촌역 2번출구와 연결되어 있고 압도적인 규모에 놀랐어요.,LABEL_2,0.9259
"앞에는 거울못, 뒤에는 남산타워가 보이는 뻥뚫린 뷰라 바라보고만 있어도 그냥 힐링되더라구요",LABEL_2,0.943
상설관무료는 오른쪽으로 들어가면 되는데,LABEL_1,0.7542
"1층 선사고대관, 중근세관 2층 서화관, 기증관, 사유의방 3층 세계문화관, 조각공예관이 있어요.",LABEL_2,0.9676
"상설전시장은 총 7개의 관과 9884점의 유물이 있고, 자세히보러면 하루에 다 보긴 힘들더라구요.",LABEL_1,0.6104
재방문할 생각으로 2층까지만,LABEL_2,0.5562
관람했습니다.,LABEL_2,0.9704
사진 많이 찍다보면 배터리 방전되는데,LABEL_1,0.4801
