text,label,score
꽃을 별로 안좋아하는 아빠도 반한 서울식물원,LABEL_1,0.5201
매년 봄마다 꼭 오는 서울식물원!,LABEL_2,0.9592
온실이 볼거리가 정말 많아요.,LABEL_2,0.9779
우리집 식물들이랑 비교하게 되는데,LABEL_1,0.6012
분명 같은 종인데 여기 있는 식물이 열배 정도 커서 신기해요.,LABEL_2,0.7953
재입장도 되어서 나갔다 들어와도 됩니다,LABEL_2,0.9601
날씨가 좋을 때나 궂을 때나 최고의 선택지입니다.,LABEL_2,0.9709
쉬어가기 좋은 힐링 스팟!,LABEL_2,0.9903
"가족, 연인, 친구 그리고 혼자와도 좋은 곳이예요",LABEL_2,0.9783
비오는날이였지만,LABEL_1,0.742
실내로되어있어 구경하기좋았습니다,LABEL_2,0.9891
실외는 아직 날씨땜 ㄴ이라 볼거리가 적었지만,LABEL_1,0.8218
날씨가 더풀리면 실외도 좋았을듯합니다,LABEL_2,0.7345
꽃들이 너무 이뻐요,LABEL_2,0.9743
아기자기하게 산책하기 좋아요,LABEL_2,0.99
나들이 하기 좋아요.,LABEL_2,0.9616
식물원이라 살짝 덥고 습해요.,LABEL_1,0.5437
볼거리가 많지만,LABEL_1,0.7328
힘들다 싶을때쯤 출구가 보입니다.,LABEL_2,0.5608
아주 적당하네요 ㅎ,LABEL_2,0.9677
사진 적당히 찍고 40분 정도 소요됐어요.,LABEL_2,0.8366
걸음마다 찍으시는 분들은 1시간 잡으셔야,LABEL_1,0.5159
2.3년 방문 이후 더 식물도 많고 볼거리가 있어서 나들이 하기 좋았습니다,LABEL_2,0.974
산책로 잘 되어 있고 신기한식물이 많아서 사진 찍기도 좋아요,LABEL_2,0.9903
아기랑 왔는데,LABEL_1,0.4268
좋았어요,LABEL_2,0.9626
추위가 가시고 따스한 햇살이 우리를 달굽니다.,LABEL_2,0.8916
많은 분들이 잔디 밭에서 휴식을 즐기시고 있습니다.,LABEL_2,0.9458
아직 푸르름이 적지만,LABEL_1,0.8458
곧 꽃들이 만발하면 정말 이쁠 것 같습니다.,LABEL_2,0.7857
산책이나 러닝하시는 분도 많네요.,LABEL_1,0.6445
식사 후 걷기에 최고인 것 같습니다.,LABEL_2,0.9802
쭌디 맛있게 먹었네,LABEL_2,0.9621
기대하지 않고 갔는데,LABEL_1,0.5253
집에서 쉽게 휘리릭 가서 좋았어요.,LABEL_2,0.7388
개관 당시보다 안정된 느낌.,LABEL_2,0.9357
아이랑 잘 시간 보냈네요,LABEL_2,0.9472
가격도 저렴하고 아기랑 오기 좋아요,LABEL_2,0.9928
경사로 잘 되어있어 유모차 끌기도 좋구요 주차는 건너편 지식산업센터에 하면 편하거 가깝고 좋아요,LABEL_2,0.9885
가격도 똑같음,LABEL_0,0.5355
봄을 느낄수 있어 좋아요,LABEL_2,0.9863
느긋하게 돌아다니기 좋습니당.,LABEL_2,0.9701
신기한 꽃들이 가득 봄 기운 득뿜 받고 갑니다,LABEL_2,0.9803
한번쯤 가볼만한 곳입니다.,LABEL_2,0.8937
식물원에 볼거리가 참 많아요.,LABEL_2,0.5696
벚꽃 보러 갔다가 벚꽃 개화는 보지 못했지만,LABEL_1,0.7834
다른 식물들 많이 봐서 좋네요.,LABEL_2,0.9379
"카페, 음식점 등 편의시설도 잘 구성되어 있습니다.",LABEL_2,0.9924
애기들하고 갈 만한 곳인거 같아서 조카랑 함께 방문하였습니다.,LABEL_2,0.9088
다양한 식물들이 많이 있어서 볼 거리도 많았어요.,LABEL_2,0.9723
"서울식물원 첫 방문인데, 크지는 않지만",LABEL_1,0.8331
나름 잘 정돈 되어 있네요,LABEL_2,0.9569
아이데리고 가기 좋아요,LABEL_2,0.9754
금액도 부담스럽지 않고 실내 데이트하기 좋았어용,LABEL_2,0.9441
신기한 식물이 많아서 사진찍기 바빴던,LABEL_2,0.5432
야외는 아직 춥긴 하지만,LABEL_1,0.9136
슬슬 꽃 피고 있어서 예쁘더라구요!,LABEL_2,0.9688
실내는 따뜻한 걸 넘어서 후덥지근해가지고 여름엔 진짜 못올 것 같아요,LABEL_0,0.5873
그리고 주차는 가까운 곳은 계속 기다려야해서 제3으로 갔는데,LABEL_1,0.5236
좀 걸어야되긴 하지만,LABEL_1,0.9135
멀지 않아서 괜찮았어요!,LABEL_2,0.9442
유모차라든지 챙겨야할 짐이나 인원이 많은 게 아니라면 이쪽으로 하시는 걸 추천해요,LABEL_2,0.7411
푸르름으로 힐링중 신기한 꽃들이 많네요.,LABEL_2,0.9832
식집사 눈돌아가는중,LABEL_0,0.5432
"5,000원 입장료가 합리적이라는 생각이 들었어요.",LABEL_2,0.6165
"산책로랑 온실까지 입장 가능한데, 온실은 조성을 잘 해놔서 1시간 만에 간단하게 관람도 끝낼수 있었고 공기가 너무 좋아서 숨통 트이는 느낌이였어요.",LABEL_2,0.9722
4월도 행복하다,LABEL_2,0.9883
몇년만에 다시 방문 했는데,LABEL_2,0.838
볼거리도 많고 좋습니다!,LABEL_2,0.9911
추워서 실내활동을 선택했는데,LABEL_1,0.6257
좋았어요,LABEL_2,0.9626
날씨가 풀리면 야외를 다시 가야겠어요,LABEL_1,0.6074
아이들과 산책겸 둘러보기 좋았어요,LABEL_2,0.9786
너무 예쁘고 좋았던곳 색다른 식물들이.,LABEL_2,0.6016
많아요,LABEL_1,0.5454
늦게가서 온실은 못 들어갔어요,LABEL_0,0.7033
호수랑 둘레만 돌아도 좋아요,LABEL_2,0.9887
아직 야외 꽃은 없지만,LABEL_1,0.8498
내부는 좋아요,LABEL_2,0.7774
알차고 멋있는 식물을 섹션별로 잘 꾸며서 보면서 감탄했어요,LABEL_2,0.9815
야외는 아직 꽃망울진 상태라 다음달에 방문하면 더 즐길 수 있어요,LABEL_2,0.8766
가까운도심속 옹달샘 같은곳.,LABEL_2,0.7072
평일이라 건물내 주차도 수월 식물원은 냄새며 소리며 눈을 돌릴때마다 상쾌함과 흥분이적당한 산책로 햇살의 따스함이 좋았다.,LABEL_2,0.9549
1층을 전체적으로 돌고나면 자연스럽게 2층에서 다시 내려다볼수 있는구조 밖에 주재원은 잘 꾸며놓은 정원같다.,LABEL_2,0.7292
아직은 꽃이나 푸릇푸릇함이 적었지만,LABEL_1,0.8461
", 충분히 아름답고 힐링 되는 공간 이다.",LABEL_2,0.9861
서울도심속 초록이가 가까이 있었넹.,LABEL_1,0.5644
주변은 실리콘베이느낌,LABEL_0,0.5279
암튼 그랬당.,LABEL_1,0.4967
식물원 옆으로 호수산책로도 있당,LABEL_2,0.9735
요긴 개방된공원인듯 식물원4층 식사 공간 있는듯 했지만,LABEL_1,0.6662
주변 멀지 않은곳에 식사 할 곳도 많당,LABEL_2,0.8856
미세먼지 가득한 날에 온실 안으로 들어오니까 숨쉬기가 편안해졌어요.,LABEL_2,0.9873
습하고 더워서 여름 되면 좀 힘들겠어요,LABEL_1,0.7135
너무너무 인기 많은 식물원이에요.,LABEL_2,0.9798
주차하기 힘들었어요.,LABEL_0,0.7954
약간은 추울 때 갔는데,LABEL_1,0.8657
안쪽은 너무 더워서 반팔을 입어도 될 정도였어요.,LABEL_1,0.4783
다른 곳보다 습하기 때문에 그런 것 같아요.,LABEL_1,0.7253
볼거리도 많고예쁜 공간도 많아서 데이트하기 좋습니다.,LABEL_2,0.9903
다음에 갈 때는 옷을 가볍게 입고 갈려구요.,LABEL_1,0.6578
봄에는 식물원 무조건이죠!,LABEL_2,0.9697
관리도 너무 잘되어있고 재방문할 예정이에요,LABEL_2,0.9924
5세13세 정도 애들이랑 가기 좋은곳.,LABEL_2,0.9255
주말에는 사람이 너무 많아 되도록 피하는게 좋음,LABEL_1,0.6317
처음으로 가본 서울수목원 !,LABEL_2,0.9545
4월이 되가는 3월은 푸릇푸릇하고 따뜻한 날씨가 계속되고있네요!,LABEL_2,0.9714
봄기운이 물씬 올라온 요즘 날씨에 서울수목원은 가기 너무좋네요!,LABEL_2,0.9462
찍을 수 있는 포토존도 너무 많고 여러가지 식물들을 보면서 힐링 할 수 있어서 좋았어요!,LABEL_2,0.9786
여러가지 부대시설도 있어서 같이즐기시면 좋을것 같아요!,LABEL_2,0.7586
"특히 씨도서관, 오아시스카페, 식물원 기념품관에서는 여러가지 식물들도 판매하고있어서 가지고와서 키울수 있어요!",LABEL_2,0.8953
식당도 같은곳으로 들어가서 수정해서 추가!,LABEL_0,0.4953
식당도 넓고 음식생각보다 맛있어요!,LABEL_2,0.9908
특히 애기들대리고 오시는 부부들이많아서 귀여운 애기들보면서 밥 맛있게 먹었네요!,LABEL_2,0.9267
푸드코트나 경복궁에서 먹으면 4층 할리스커피도 30퍼센트 할인 해주는 이벤트가있으니 혜택 꼭 챙겨가세요!,LABEL_2,0.8993
너무 멋있고 볼거리가 많아요,LABEL_2,0.9889
주차가 조금 힘들지만,LABEL_1,0.8794
식물원 지하 주차장 말고 유료긴 해도 근처 다른 주차장 이용하니 대기 없이 바로 주차할 수 있었어요,LABEL_2,0.9526
"데이트, 가족 나들이로 방문하기 너무 좋은 것 같아요.",LABEL_2,0.983
주제원은 아직 꽃이 많이 안 펴서 아쉬웠어요 다음에 다시 방문해보려구요,LABEL_1,0.7476
