text,label,score
서울의 대표적인 공원.,LABEL_2,0.5945
인근 성수동 가까워서 갈 곳 많음,LABEL_2,0.8181
국내 커플들 여기 다모인듯,LABEL_1,0.4971
봄꽃파티시작인 서울숲 튤립은 아직 만개아니지만,LABEL_1,0.8232
벚꽃은 충분히 다 폈어요,LABEL_2,0.7344
서울숲!,LABEL_2,0.6716
벚꽃 현황,LABEL_2,0.8632
진짜 여기도 벚꽃이 매우 만개된상태!,LABEL_0,0.644
낮에 오면 엄청 이쁠거같아요!,LABEL_0,0.497
밤에는 조명이 비추긴 하지만,LABEL_1,0.9178
잘안 보이는 구간이 있어요.,LABEL_1,0.6064
그러나 저녁에 방문하면 또 다른 장점은 조용히 벚꽃 구경 할수 있는 장점,LABEL_1,0.569
진짜 여기도 벚꽃이 너무 아름답고 좋아용!,LABEL_2,0.9835
화려하고 밝게 구경하고싶으면 낮에!,LABEL_2,0.8975
어둡지만,LABEL_1,0.7938
조용히 구경하고 싶으면 밤에 방문 추천드립니다!,LABEL_2,0.9465
벚꽃 피크닉 하고 싶어서 서울숲에 방문했어요 _,LABEL_2,0.7207
무대 쪽 장소에 벚꽃이 많이 피어 있어서 피크닉하기에 너무 좋더라구요,LABEL_2,0.9514
꽃구경 오신 분들도 많았는데,LABEL_1,0.6699
평일이라 그런지 생각보다 붐비지 않아서 여유롭게 즐기기 좋았어요.,LABEL_2,0.9305
이런 장소가 있어서 너무 좋네요,LABEL_2,0.9768
사울숲 벚꽃이 만개했습니다.,LABEL_2,0.8255
벚꽃 서울숲 폭싹속았수다 봄명소 벚꽃엔딩  동산약국,LABEL_2,0.9087
봄 분위기가 물씬 풍기는 서울숲에서 봄 소풍 제대로 즐겼습니다.,LABEL_2,0.9761
"벚꽃에 수선화, 버드나무, 황매화 그리고 개나리까지 그야말로 꽃대궐이더군요.",LABEL_2,0.9312
계절마다 다른 매력을 풍기는 서울숲 정말 추천할 만한 곳입니다.,LABEL_2,0.9852
돗자리 가지구 피크닉 다녀옴,LABEL_2,0.8521
넘 좋음,LABEL_2,0.9893
벚꽃의 명당 서울숲.,LABEL_2,0.8827
사슴농원쪽도 좋지만,LABEL_2,0.8308
곳곳이 벚꽃명지.,LABEL_1,0.3944
튤립이 피었을까 방문했는데,LABEL_1,0.5239
", 벚꽃의 마지막이 가까워지는 걸 보고 왔네요.",LABEL_2,0.9207
역시나 꽃이 예쁩니다.,LABEL_2,0.9781
서울숲 벚꽃축제 지금 만개중이에여,LABEL_2,0.6716
"평일,주말 인파가 엄청나서 대중교통권장합니다 사슴존에 벚꽃터널 너무 이뻐여",LABEL_2,0.9837
평일 나들이로 데이트 즐기면서 인생샷찍고 왔어여,LABEL_2,0.9825
봄의 한복판에서 만난 서울숲 참 예쁘네요.,LABEL_2,0.9399
물 오르는 수양버들과 벚꽃나무 여러 봄꽃 연녹색 새싹 나무가지의 여린 잎  봄이 이렇게 예쁘구나ᆢ 이렇게 싱그럽구나 ᆢ 이렇게 사람을 기쁘게 하는구나,LABEL_2,0.9618
ᆢ 그래서 행복하다 생각했어요,LABEL_2,0.977
덜익은 벚꽃과 잘익은 노을,LABEL_1,0.5095
원래 서울숲 자주 가는데,LABEL_1,0.7125
봄이라 날씨도 따뜻하고 벚꽃 때문인지 사람이 많아서 산책이나 피크닉은 포기하고 앞애서 사진만 찍고 왔어요,LABEL_2,0.6321
벚꽃 지면 다시 피크닉하러 오려구요,LABEL_1,0.4351
봄의 서울숲에서 명자나무 꽃을 봄.,LABEL_2,0.8376
산책 겸 저녁 꽃구경하러 방문했어요!,LABEL_2,0.9779
"저녁시간엔 많이 붐비지 않아 좋았고, 꽃들이 은은하게 아름다웠어요",LABEL_2,0.9645
"근처에 분위기 좋은 식당, 카페도 많아서 데이트코스로 딱이에요",LABEL_2,0.9867
봄 벚꽃이 좋네요,LABEL_2,0.9782
인증 남겨요,LABEL_2,0.966
벚꽃 폈어요,LABEL_2,0.825
서울숲에 벚꽃보러 가세요,LABEL_1,0.5934
아직 만개하진 않았는데,LABEL_1,0.7098
군마상 뒷편으로 벚꽃이 제법 근사하게 폈어요 주말엔 만개할듯?,LABEL_2,0.7811
주말엔 가든 페스티벌도해서 사람 많을듯하니 지금 미리 가서 구경해도 좋을듯해요,LABEL_1,0.4985
목련이랑 같이 보려면 오히려 지금이 더 좋을거같기도합니당,LABEL_1,0.7471
"41 기준 벚꽃 아직 안폈고, 조각공원 근처에 하얀 살구나무꽃나무는 잔뜩 개화했습니다.",LABEL_0,0.564
스케이트파크와 서울숲광장 근처에 목련꽃이 예쁘게 펴있어요.,LABEL_2,0.9275
그외 소나무 제외 메타시콰이어나무 같은 나무는 아직 푸릇푸릇하지 않아서 막 예쁘진 않습니다.,LABEL_1,0.7889
산책하기에도 데이트나 친구와 놀기에도 좋아요,LABEL_2,0.9904
